ticker,type,ticker_api,name,id,sid
GROWWSC250,etf,GROWWSC250,Groww Nifty Smallcap 250 ETF,GROWC,GROWC
SMALLADD,etf,SMALLADD,DSP Nifty Smallcap 250 ETF,SMALA,SMALA
MOLOWVOL,etf,MOLOWVOL,Motilal Oswal BSE Low Volatility ETF,MOLO,MOLO
LICNMID100,etf,LICNMID100,LIC MF Nifty Midcap 100 ETF,LICNM,LICNM
MIDCAPBETA,etf,MIDCAPBETA,UTI Nifty Midcap 150 Exchange Traded Fund,NIFM,NIFM
GROWWMC150,etf,GROWWMC150,Groww Nifty Midcap 150 ETF,GROMW,GROMW
MIDCAPADD,etf,MIDCAPADD,DSP Nifty Midcap 150 ETF,MIDCA,MIDCA
AUTOIETF,etf,AUTOIETF,ICICI Prudential Nifty Auto ETF,ICICA,ICICA
AUTOBEES,etf,AUTOBEES,Nippon India Nifty Auto ETF,NETFA,NETFA
BANKBEES,etf,BANKBEES,Nippon India ETF Nifty Bank BeES,BBES,BBES
PVTBANIETF,etf,PVTBANIETF,ICICI Prudential Nifty Private Bank ETF,ICIV,ICIV
BANKIETF,etf,BANKIETF,ICICI Prudential Nifty Bank ETF,ICIA,ICIA
BANKBETF,etf,BANKBETF,Bajaj Finserv Nifty Bank ETF,BANKB,BANKB
BANKNIFTY1,,,,,
SETFNIFBK,,,,,
HDFCNIFBAN,etf,HDFCNIFBAN,HDFC Nifty Banking ETF,HDFB,HDFB
BANKETF,etf,BANKETF,Mirae Asset Nifty Bank ETF,BANK,BANK
BANKBETA,etf,BANKBETA,UTI Nifty Bank ETF,UTIB,UTIB
ABSLBANETF,etf,ABSLBANETF,Aditya Birla Sun Life Nifty Bank ETF,ADIL,ADIL
SBIETFPB,etf,SBIETFPB,SBI Nifty Private Bank ETF,SBIE,SBIE
HDFCPVTBAN,etf,HDFCPVTBAN,HDFC Nifty Private Bank ETF,HDFCP,HDFCP
BANKADD,etf,BANKADD,DSP Nifty Bank ETF,DSPB,DSPB
PVTBANKADD,etf,PVTBANKADD,DSP Nifty Private Bank ETF,DSPPV,DSPPV
BBNPNBETF,etf,BBNPNBETF,Baroda BNP Paribas Nifty Bank ETF,BBNP,BBNP
AXISBNKETF,etf,AXISBNKETF,Axis NIFTY Bank ETF,AXIS,AXIS
NPBET,,,,,
EBANKNIFTY,,,,,
ENERGY,,,,,
OILIETF,etf,OILIETF,ICICI Prudential Nifty Oil & Gas ETF,OIL,OIL
MOENERGY,etf,MOENERGY,Motilal Oswal Nifty Energy ETF,MOE,MOE
GROWWPOWER,etf,GROWWPOWER,Groww BSE Power ETF,GROWP,GROWP
BFSI,etf,BFSI,Mirae Asset Nifty Financial Services ETF,MAFS,MAFS
FINIETF,etf,FINIETF,ICICI Pru Nifty Financial Services Ex-Bank ETF,ICIII,ICIII
FMCGIETF,etf,FMCGIETF,ICICI Prudential Nifty FMCG ETF,ICICF,ICICF
HEALTHCARE,etf,HEALTHCARE,Mirae Asset Nifty 500 Healthcare ETF,HEALC,HEALC
HEALTHIETF,etf,HEALTHIETF,ICICI Prudential Nifty Healthcare ETF,ICICI,ICICI
HEALTHY,etf,HEALTHY,Aditya BSL Nifty Healthcare ETF,HEALT,HEALT
MOHEALTH,etf,MOHEALTH,Motilal Oswal BSE Healthcare ETF,MOHE,MOHE
HEALTHADD,,,,,
AXISHCETF,,,,,
ITETF,,,,,
ITIETF,,,,,
ITBEES,etf,ITBEES,Nippon India ETF Nifty IT,NIPD,NIPD
HDFCNIFIT,etf,HDFCNIFIT,HDFC Nifty IT ETF,HDFCI,HDFCI
IT,etf,IT,Kotak Nifty IT ETF,KOTA,KOTA
ITADD,etf,ITADD,DSP Nifty IT ETF,DSPI,DSPI
TNIDETF,etf,TNIDETF,Tata Nifty India Digital Exchange Traded Fund,TNI,TNI
SBIETFIT,etf,SBIETFIT,SBI Nifty IT ETF,SBIET,SBIET
